url,img,text
/inspirational-quotes/7886-don-t-be-afraid-to-expand-yourself-to-step-out,https://quotes.values.com/quote_artwork/7886/medium/20190322_friday_quote.jpg?1552683104,"Don’t be afraid to expand yourself, to step out of your comfort zone. That’s where the joy and the adventure lie. #<Author:0x00007f32625a8bb0>"
/inspirational-quotes/7359-at-times-you-have-to-leave-the-city-of-your,https://quotes.values.com/quote_artwork/7359/medium/20190321_thursday_quote.jpg?1552683072,At times you have to leave the city of your comfort and go into the wilderness of your intuition. What you'll discover will be wonderful. What you'll discover is yourself. #<Author:0x00007f326270d758>
/inspirational-quotes/7885-for-what-it-s-worth-it-s-never-too-late-or-in,https://quotes.values.com/quote_artwork/7885/medium/20190320_wednesday_quote_alternate2.jpg?1552689922,"For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. #<Author:0x00007f3262851178>"
/inspirational-quotes/4171-twenty-years-from-now-you-will-be-more,https://quotes.values.com/quote_artwork/4171/medium/20190319_tuesday_quote.jpg?1552682997,Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover. #<Author:0x00007f32629ed360>
/inspirational-quotes/7884-embrace-uncertainty-some-of-the-most-beautiful,https://quotes.values.com/quote_artwork/7884/medium/20190318_monday_quote.jpg?1552682962,Embrace uncertainty. Some of the most beautiful chapters in our lives won’t have a title until much later. #<Author:0x00007f3262ace888>
/inspirational-quotes/6664-the-most-important-thing-in-communication-is-to,https://quotes.values.com/quote_artwork/6664/medium/20190315_friday_quote.jpg?1552095946,The most important thing in communication is to hear what isn't being said. #<Author:0x00007f3262bcb178>
/inspirational-quotes/7883-deep-listening-is-the-kind-of-listening-that,https://quotes.values.com/quote_artwork/7883/medium/20190314_thursday_quote_updated.jpg?1552576582,Deep listening is the kind of listening that can help relieve the suffering of another person... You listen with only one purpose: to help him or her to empty their heart.  #<Author:0x00007f3262c51ac0>
/inspirational-quotes/7882-theres-a-lot-of-difference-between-listening,https://quotes.values.com/quote_artwork/7882/medium/20190313_wednesday_quote.jpg?1552095885,There's a lot of difference between listening and hearing. #<Author:0x00007f3262ce3ce0>
/inspirational-quotes/3817-listening-is-a-magnetic-and-strange-thing-a,https://quotes.values.com/quote_artwork/3817/medium/20190312_tuesday_quote.jpg?1552095841,"Listening is a magnetic and strange thing, a creative force. The friends who listen to us are the ones we move toward. When we are listened to, it creates us, makes us unfold and expand. #<Author:0x00007f32542ee838>"
/inspirational-quotes/4151-the-first-duty-of-love-is-to-listen,https://quotes.values.com/quote_artwork/4151/medium/20190311_monday_quote.jpg?1552095812,The first duty of love is to listen. #<Author:0x00007f32630eafa0>
/inspirational-quotes/3180-if-human-beings-are-perceived-as-potentials,https://quotes.values.com/quote_artwork/3180/medium/20190308_quote_fixed.jpg?1552091075,"If human beings are perceived as potentials rather than problems, as possessing strengths instead of weaknesses, as unlimited rather than dull and unresponsive, then they thrive and grow to their capabilities. #<Author:0x00007f32543a03a8>"
/inspirational-quotes/3546-find-the-good-and-praise-it,https://quotes.values.com/quote_artwork/3546/medium/20190307_thursday_quote.jpg?1551560591,Find the good—and praise it. #<Author:0x00007f32543b9060>
/inspirational-quotes/6383-i-have-yet-to-find-a-man-or-woman-however,https://quotes.values.com/quote_artwork/6383/medium/20190306_wednesday_quote.jpg?1551560565,"I have yet to find a man or woman, however exalted their station, who did not do better work and put forth greater effort under a spirit of approval than under a spirit of criticism.  #<Author:0x00007f3263ebeff0>"
/inspirational-quotes/3710-promise-yourself-to-be-just-as-enthusiastic,https://quotes.values.com/quote_artwork/3710/medium/20190305_tuesday_quote.jpg?1551560543,Promise yourself to be just as enthusiastic about the success of others as you are about your own. #<Author:0x00007f3254326530>
/inspirational-quotes/4102-be-aware-of-what-others-are-doing-applaud,https://quotes.values.com/quote_artwork/4102/medium/20190304_monday_quote.jpg?1551560513,"Be aware of what others are doing, applaud their efforts, acknowledge their successes, and encourage them in their pursuits. When we all help one another, everybody wins. #<Author:0x00007f3254359250>"
/inspirational-quotes/7453-be-happy-in-the-moment-that-s-enough-each,https://quotes.values.com/quote_artwork/7453/medium/20190301_friday_quote.jpg?1550871772,"Be happy in the moment, that’s enough. Each moment is all we need, not more. #<Author:0x00007f32542a3720>"
